AREA,AREA_TITLE,AREA_TYPE,OCC_CODE,OCC_TITLE,O_GROUP,A_MEAN,A_MEDIAN,A_PCT25,A_PCT75,TOT_EMP
12420,"Austin-Round Rock-San Marcos, TX",4,31-9097,Phlebotomists,detailed,45760,45870,38830,48690,860
12420,"Austin-Round Rock-San Marcos, TX",4,31-9099,"Healthcare Support Workers, All Other",detailed,49270,46110,35430,60680,780
12420,"Austin-Round Rock-San Marcos, TX",4,33-0000,Protective Service Occupations,major,59640,51020,36700,77340,24880
12420,"Austin-Round Rock-San Marcos, TX",4,33-1011,First-Line Supervisors of Correctional Officers,detailed,92340,98450,75280,101090,260
12420,"Austin-Round Rock-San Marcos, TX",4,33-1012,First-Line Supervisors of Police and Detectives,detailed,124370,127860,112110,142750,490
12420,"Austin-Round Rock-San Marcos, TX",4,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,detailed,96820,97380,80500,116720,890
12420,"Austin-Round Rock-San Marcos, TX",4,33-1091,First-Line Supervisors of Security Workers,detailed,63490,59080,45250,73300,430
12420,"Austin-Round Rock-San Marcos, TX",4,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",detailed,72280,66960,46830,89420,180
12420,"Austin-Round Rock-San Marcos, TX",4,33-2011,Firefighters,detailed,61290,59530,46810,73890,2640
12420,"Austin-Round Rock-San Marcos, TX",4,33-2021,Fire Inspectors and Investigators,detailed,88560,81460,66790,99320,60
12420,"Austin-Round Rock-San Marcos, TX",4,33-3012,Correctional Officers and Jailers,detailed,58700,58820,51170,59570,1850
12420,"Austin-Round Rock-San Marcos, TX",4,33-3021,Detectives and Criminal Investigators,detailed,80700,77470,55560,100390,1680
12420,"Austin-Round Rock-San Marcos, TX",4,33-3041,Parking Enforcement Workers,detailed,36670,36150,30550,38620,50
12420,"Austin-Round Rock-San Marcos, TX",4,33-3051,Police and Sheriff's Patrol Officers,detailed,84590,83820,75800,96680,4280
12420,"Austin-Round Rock-San Marcos, TX",4,33-9011,Animal Control Workers,detailed,46850,46790,42100,50240,90
12420,"Austin-Round Rock-San Marcos, TX",4,33-9021,Private Detectives and Investigators,detailed,59220,51820,37760,71500,280
12420,"Austin-Round Rock-San Marcos, TX",4,33-9032,Security Guards,detailed,40060,35630,29980,43000,8030
12420,"Austin-Round Rock-San Marcos, TX",4,33-9091,Crossing Guards and Flaggers,detailed,39940,43260,35510,43260,400
12420,"Austin-Round Rock-San Marcos, TX",4,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,38300,43770,33140,43770,1990
12420,"Austin-Round Rock-San Marcos, TX",4,33-9093,Transportation Security Screeners,detailed,58620,53370,52850,63630,430
12420,"Austin-Round Rock-San Marcos, TX",4,33-9094,School Bus Monitors,detailed,31650,31790,26440,35030,370
12420,"Austin-Round Rock-San Marcos, TX",4,33-9099,"Protective Service Workers, All Other",detailed,49240,35360,32200,46870,410
12420,"Austin-Round Rock-San Marcos, TX",4,35-0000,Food Preparation and Serving Related Occupations,major,34170,31200,27440,37490,120850
12420,"Austin-Round Rock-San Marcos, TX",4,35-1011,Chefs and Head Cooks,detailed,60490,55900,44220,68760,1770
12420,"Austin-Round Rock-San Marcos, TX",4,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detailed,43250,37240,34960,50110,13040
